Node,Interface,Status,Deployed_EPGs,Interface_Profile,Selector,Policy_Group,Switch_Profile
1002,eth1/34,up,None (Unbound),w7x-cohesity-06_ifp,w7x-cohesity-06_ifsel,accbundle-w7x-cohesity-06_ifpg,1001-1002
1001,eth1/15,up,None (Unbound),W7X_WFS_09_ifp,W7X_WFS_09,accbundle-W7X_WFS_09_ifpg,1001-1002
1002,eth1/15,up,None (Unbound),W7X_WFS_09_ifp,W7X_WFS_09,accbundle-W7X_WFS_09_ifpg,1001-1002
1001,eth1/36,up,None (Unbound),w7x-cohesity-08_ifp,w7x-cohesity-08_ifsel,accbundle-w7x-cohesity-08_ifpg,1001-1002
1002,eth1/36,up,None (Unbound),w7x-cohesity-08_ifp,w7x-cohesity-08_ifsel,accbundle-w7x-cohesity-08_ifpg,1001-1002
1001,eth1/23,down,None (Unbound),W7X-PureReplication-A_ifp,W7X-PureReplication-A_ifsel,accbundle-W7X-PureReplication-A_ifpg,1001-1002
1002,eth1/23,down,None (Unbound),W7X-PureReplication-A_ifp,W7X-PureReplication-A_ifsel,accbundle-W7X-PureReplication-A_ifpg,1001-1002
1001,eth1/1,up,None (Unbound),classic_eth_ifp,eth1_1,accbundle-Classic_eth_ifpg,1001-1002
1002,eth1/1,up,None (Unbound),classic_eth_ifp,eth1_1,accbundle-Classic_eth_ifpg,1001-1002
1001,eth1/41,up,None (Unbound),w7x-cohesity-13_ifp,w7x-cohesity-13_ifsel,accbundle-w7x-cohesity-13_ifpg,1001-1002
1002,eth1/41,up,None (Unbound),w7x-cohesity-13_ifp,w7x-cohesity-13_ifsel,accbundle-w7x-cohesity-13_ifpg,1001-1002
1001,eth1/43,down,None (Unbound),W7X-UCSX-FI-A-ifp,if-L1001-P43-UCSx-FI-A-P43-44,accbundle-ifpg-W7th-static-UCSx-FI-A-P43-44,1001-1002
1001,eth1/25,up,None (Unbound),W7X-UCSX-FI-A-ifp,W7X-UCSX-FI-A-ifsel,accbundle-W7X-UCSX-FI-A-ifpg,1001-1002
1001,eth1/26,up,None (Unbound),W7X-UCSX-FI-A-ifp,W7X-UCSX-FI-A-ifsel,accbundle-W7X-UCSX-FI-A-ifpg,1001-1002
